paper_id,class_label,degree_full_graph,degree_subset_if_available,selection_rank_within_class
1365,Neural_Networks,74,6,0
3229,Neural_Networks,65,10,1
910,Neural_Networks,44,6,2
19621,Neural_Networks,33,6,3
2665,Neural_Networks,30,5,4
22563,Neural_Networks,21,10,5
2658,Neural_Networks,19,4,6
31353,Neural_Networks,19,3,7
230879,Neural_Networks,18,4,8
3220,Neural_Networks,18,6,9
2696,Neural_Networks,17,1,10
5348,Neural_Networks,15,1,11
35797,Neural_Networks,14,4,12
34257,Neural_Networks,14,2,13
6910,Neural_Networks,13,3,14
202639,Neural_Networks,11,2,15
10531,Neural_Networks,11,3,16
240321,Neural_Networks,10,0,17
77758,Neural_Networks,10,4,18
32083,Neural_Networks,10,3,19
123825,Neural_Networks,10,1,20
12330,Neural_Networks,10,1,21
23507,Neural_Networks,9,2,22
578337,Neural_Networks,9,3,23
25702,Neural_Networks,9,2,24
205196,Neural_Networks,9,0,25
66990,Neural_Networks,9,1,26
28254,Neural_Networks,9,4,27
27623,Neural_Networks,9,1,28
78557,Neural_Networks,8,2,29
13686,Neural_Networks,8,4,30
16485,Neural_Networks,8,1,31
6784,Neural_Networks,8,1,32
25772,Neural_Networks,8,3,33
33818,Neural_Networks,8,1,34
29492,Neural_Networks,8,1,35
12631,Neural_Networks,8,3,36
25181,Neural_Networks,8,3,37
6130,Neural_Networks,8,0,38
12638,Neural_Networks,8,4,39
59798,Neural_Networks,8,3,40
20584,Neural_Networks,8,2,41
34266,Neural_Networks,7,2,42
8581,Neural_Networks,7,1,43
40886,Neural_Networks,7,5,44
194617,Neural_Networks,7,3,45
27174,Neural_Networks,7,3,46
6925,Neural_Networks,7,3,47
7537,Neural_Networks,7,2,48
36145,Neural_Networks,7,0,49
906,Neural_Networks,7,1,50
31927,Neural_Networks,7,3,51
13212,Neural_Networks,7,1,52
696345,Neural_Networks,7,4,53
7297,Neural_Networks,7,3,54
49482,Neural_Networks,7,4,55
7532,Neural_Networks,7,2,56
13658,Neural_Networks,7,0,57
194609,Neural_Networks,7,1,58
105856,Neural_Networks,7,1,59
6898,Neural_Networks,7,3,60
230884,Neural_Networks,7,3,61
13885,Neural_Networks,7,1,62
74427,Neural_Networks,7,2,63
131318,Neural_Networks,6,2,64
395553,Neural_Networks,6,2,65
395725,Neural_Networks,6,2,66
103482,Neural_Networks,6,2,67
48550,Neural_Networks,6,2,68
141171,Neural_Networks,6,2,69
2440,Rule_Learning,31,18,0
8703,Rule_Learning,19,9,1
39127,Rule_Learning,16,8,2
3218,Rule_Learning,15,7,3
6935,Rule_Learning,10,4,4
11335,Rule_Learning,9,1,5
4649,Rule_Learning,9,6,6
6923,Rule_Learning,9,6,7
8594,Rule_Learning,8,3,8
49843,Rule_Learning,8,8,9
22431,Rule_Learning,8,7,10
18615,Rule_Learning,7,7,11
6639,Rule_Learning,7,7,12
6917,Rule_Learning,7,6,13
75969,Rule_Learning,7,6,14
116084,Rule_Learning,7,6,15
63931,Rule_Learning,7,5,16
85688,Rule_Learning,6,4,17
193352,Rule_Learning,6,4,18
75972,Rule_Learning,6,6,19
51909,Rule_Learning,6,2,20
178209,Rule_Learning,6,6,21
592830,Rule_Learning,6,5,22
136766,Rule_Learning,6,4,23
235679,Rule_Learning,6,4,24
49844,Rule_Learning,6,6,25
1105932,Rule_Learning,5,5,26
424,Rule_Learning,5,1,27
193347,Rule_Learning,5,4,28
1128935,Rule_Learning,5,4,29
591017,Rule_Learning,5,5,30
1000012,Rule_Learning,5,4,31
1106388,Rule_Learning,5,5,32
235683,Rule_Learning,5,4,33
49847,Rule_Learning,5,5,34
1127851,Rule_Learning,5,3,35
187354,Rule_Learning,5,4,36
13717,Rule_Learning,5,2,37
72908,Rule_Learning,5,3,38
8591,Rule_Learning,5,1,39
1131719,Rule_Learning,5,3,40
136768,Rule_Learning,4,4,41
193354,Rule_Learning,4,4,42
133615,Rule_Learning,4,1,43
11148,Rule_Learning,4,3,44
1129835,Rule_Learning,4,4,45
58268,Rule_Learning,4,1,46
195150,Rule_Learning,4,4,47
591016,Rule_Learning,4,4,48
1110426,Rule_Learning,4,4,49
372862,Rule_Learning,4,3,50
235678,Rule_Learning,4,3,51
449841,Rule_Learning,4,3,52
27230,Rule_Learning,4,2,53
235670,Rule_Learning,4,4,54
1106492,Rule_Learning,4,1,55
1153811,Rule_Learning,4,3,56
135766,Rule_Learning,4,3,57
137359,Rule_Learning,4,0,58
61417,Rule_Learning,4,0,59
137380,Rule_Learning,4,1,60
568045,Rule_Learning,4,4,61
93923,Rule_Learning,4,4,62
1786,Rule_Learning,4,3,63
57773,Rule_Learning,4,3,64
6941,Rule_Learning,4,4,65
1213,Rule_Learning,4,1,66
308232,Rule_Learning,3,3,67
8687,Rule_Learning,3,0,68
1128856,Rule_Learning,3,3,69
6213,Reinforcement_Learning,78,39,0
114,Reinforcement_Learning,42,22,1
4584,Reinforcement_Learning,32,19,2
6214,Reinforcement_Learning,32,19,3
117,Reinforcement_Learning,17,8,4
28350,Reinforcement_Learning,14,8,5
17476,Reinforcement_Learning,13,4,6
6184,Reinforcement_Learning,12,8,7
28287,Reinforcement_Learning,12,4,8
6163,Reinforcement_Learning,12,8,9
6209,Reinforcement_Learning,11,4,10
6151,Reinforcement_Learning,11,7,11
7419,Reinforcement_Learning,10,4,12
20534,Reinforcement_Learning,10,5,13
6196,Reinforcement_Learning,9,7,14
17208,Reinforcement_Learning,9,3,15
128,Reinforcement_Learning,8,6,16
134128,Reinforcement_Learning,8,4,17
23258,Reinforcement_Learning,8,4,18
6385,Reinforcement_Learning,8,4,19
28290,Reinforcement_Learning,8,4,20
6220,Reinforcement_Learning,8,7,21
124064,Reinforcement_Learning,8,7,22
8872,Reinforcement_Learning,8,2,23
6224,Reinforcement_Learning,8,7,24
86359,Reinforcement_Learning,7,2,25
28202,Reinforcement_Learning,7,3,26
6169,Reinforcement_Learning,7,4,27
341188,Reinforcement_Learning,7,5,28
17201,Reinforcement_Learning,7,1,29
197054,Reinforcement_Learning,6,3,30
28278,Reinforcement_Learning,6,5,31
38480,Reinforcement_Learning,6,5,32
130,Reinforcement_Learning,6,5,33
6216,Reinforcement_Learning,6,2,34
91975,Reinforcement_Learning,6,6,35
6378,Reinforcement_Learning,6,3,36
28504,Reinforcement_Learning,6,2,37
7430,Reinforcement_Learning,6,1,38
20526,Reinforcement_Learning,6,5,39
434,Reinforcement_Learning,6,5,40
193742,Reinforcement_Learning,6,4,41
6155,Reinforcement_Learning,6,5,42
135130,Reinforcement_Learning,6,3,43
28471,Reinforcement_Learning,5,5,44
682666,Reinforcement_Learning,5,3,45
23774,Reinforcement_Learning,5,2,46
976334,Reinforcement_Learning,5,5,47
1130567,Reinforcement_Learning,5,4,48
95589,Reinforcement_Learning,5,2,49
1120731,Reinforcement_Learning,5,3,50
28485,Reinforcement_Learning,5,5,51
168410,Reinforcement_Learning,5,5,52
28487,Reinforcement_Learning,5,1,53
755217,Reinforcement_Learning,5,4,54
28387,Reinforcement_Learning,5,4,55
1116347,Reinforcement_Learning,5,4,56
6210,Reinforcement_Learning,5,4,57
81350,Reinforcement_Learning,5,2,58
1103315,Reinforcement_Learning,5,5,59
628500,Reinforcement_Learning,5,3,60
28227,Reinforcement_Learning,5,5,61
55968,Reinforcement_Learning,5,4,62
13960,Reinforcement_Learning,5,4,63
18834,Reinforcement_Learning,5,2,64
1246,Reinforcement_Learning,5,2,65
1113459,Reinforcement_Learning,5,3,66
345340,Reinforcement_Learning,5,4,67
13193,Reinforcement_Learning,5,4,68
35863,Reinforcement_Learning,5,2,69
4330,Probabilistic_Methods,40,7,0
39890,Probabilistic_Methods,19,7,1
3191,Probabilistic_Methods,17,6,2
35922,Probabilistic_Methods,16,5,3
643221,Probabilistic_Methods,16,7,4
4335,Probabilistic_Methods,16,2,5
16819,Probabilistic_Methods,14,4,6
642894,Probabilistic_Methods,14,3,7
18777,Probabilistic_Methods,13,3,8
5086,Probabilistic_Methods,12,3,9
3233,Probabilistic_Methods,12,3,10
6913,Probabilistic_Methods,12,3,11
31489,Probabilistic_Methods,12,1,12
65074,Probabilistic_Methods,12,4,13
16008,Probabilistic_Methods,11,3,14
1997,Probabilistic_Methods,10,5,15
73162,Probabilistic_Methods,10,2,16
77438,Probabilistic_Methods,10,2,17
6818,Probabilistic_Methods,10,3,18
3192,Probabilistic_Methods,10,4,19
153063,Probabilistic_Methods,10,1,20
