paper_id,class_label,degree_full_graph,degree_subset_if_available,selection_rank_within_class
1365,Neural_Networks,74,10,0
3229,Neural_Networks,65,13,1
910,Neural_Networks,44,7,2
19621,Neural_Networks,33,7,3
2665,Neural_Networks,30,8,4
22563,Neural_Networks,21,14,5
2658,Neural_Networks,19,5,6
31353,Neural_Networks,19,4,7
230879,Neural_Networks,18,4,8
3220,Neural_Networks,18,8,9
2696,Neural_Networks,17,3,10
5348,Neural_Networks,15,4,11
35797,Neural_Networks,14,4,12
34257,Neural_Networks,14,3,13
6910,Neural_Networks,13,3,14
202639,Neural_Networks,11,3,15
10531,Neural_Networks,11,4,16
240321,Neural_Networks,10,2,17
77758,Neural_Networks,10,5,18
32083,Neural_Networks,10,3,19
123825,Neural_Networks,10,1,20
12330,Neural_Networks,10,1,21
23507,Neural_Networks,9,2,22
578337,Neural_Networks,9,4,23
25702,Neural_Networks,9,3,24
205196,Neural_Networks,9,0,25
66990,Neural_Networks,9,2,26
28254,Neural_Networks,9,5,27
27623,Neural_Networks,9,4,28
78557,Neural_Networks,8,3,29
13686,Neural_Networks,8,5,30
16485,Neural_Networks,8,1,31
6784,Neural_Networks,8,1,32
25772,Neural_Networks,8,3,33
33818,Neural_Networks,8,2,34
29492,Neural_Networks,8,1,35
12631,Neural_Networks,8,3,36
25181,Neural_Networks,8,4,37
6130,Neural_Networks,8,4,38
12638,Neural_Networks,8,5,39
59798,Neural_Networks,8,3,40
20584,Neural_Networks,8,2,41
34266,Neural_Networks,7,4,42
8581,Neural_Networks,7,3,43
40886,Neural_Networks,7,6,44
194617,Neural_Networks,7,3,45
27174,Neural_Networks,7,4,46
6925,Neural_Networks,7,3,47
7537,Neural_Networks,7,2,48
36145,Neural_Networks,7,2,49
906,Neural_Networks,7,2,50
31927,Neural_Networks,7,3,51
13212,Neural_Networks,7,2,52
696345,Neural_Networks,7,4,53
7297,Neural_Networks,7,3,54
49482,Neural_Networks,7,4,55
7532,Neural_Networks,7,2,56
13658,Neural_Networks,7,1,57
194609,Neural_Networks,7,1,58
105856,Neural_Networks,7,2,59
6898,Neural_Networks,7,3,60
230884,Neural_Networks,7,3,61
13885,Neural_Networks,7,1,62
74427,Neural_Networks,7,2,63
131318,Neural_Networks,6,4,64
395553,Neural_Networks,6,2,65
395725,Neural_Networks,6,4,66
103482,Neural_Networks,6,2,67
48550,Neural_Networks,6,3,68
141171,Neural_Networks,6,2,69
763009,Neural_Networks,6,2,70
175291,Neural_Networks,6,3,71
671269,Neural_Networks,6,2,72
19697,Neural_Networks,6,5,73
45533,Neural_Networks,6,1,74
2698,Neural_Networks,6,2,75
16437,Neural_Networks,6,1,76
12337,Neural_Networks,6,3,77
63915,Neural_Networks,6,6,78
