sample_id,orig_node_id,label,label_name,z_pc1,z_pc2,k,pca_used,note,z_1,z_2,z_3
0,35,5,Genetic_Algorithms,2.781689674829084,-0.9206389400525954,3,True,cora_subset_pilot k=3 best,-4.311447338157086,2.6330813813255896,4.601603892295434
1,594649,5,Genetic_Algorithms,1.131792228746086,0.8609169680137447,3,True,cora_subset_pilot k=3 best,0.13834280101971838,0.46850656544196373,1.6121496694039872
2,263498,5,Genetic_Algorithms,1.1124975456573647,0.4482565822464424,3,True,cora_subset_pilot k=3 best,-0.35670209578408,0.45813608369688974,1.5978050916121174
3,594047,5,Genetic_Algorithms,-0.17493893127297683,-1.1526270049490828,3,True,cora_subset_pilot k=3 best,-1.4874167229280943,-0.08359859766467956,-0.06718606715544753
4,1137466,5,Genetic_Algorithms,0.10382138193971946,-0.30734158252013544,3,True,cora_subset_pilot k=3 best,-1.1549982302838968,0.699571006688991,0.6133451713343877
5,1128453,5,Genetic_Algorithms,0.8866384028469274,-0.03431927132014312,3,True,cora_subset_pilot k=3 best,-0.7151454066677031,0.25088724112817035,1.255336827471609
6,1131360,5,Genetic_Algorithms,-0.1657813364158245,-1.0530499029280336,3,True,cora_subset_pilot k=3 best,-1.4272939942694471,-0.008117091991160999,-0.021961754284210534
7,249421,0,Neural_Networks,-0.49910826852814955,-0.8031339390171424,3,True,cora_subset_pilot k=3 best,-1.6242898049047363,0.7652299037085949,-0.013358579633985021
8,206371,5,Genetic_Algorithms,0.051482580942921546,-0.714686810832647,3,True,cora_subset_pilot k=3 best,-1.0958864202955072,0.012212292171986057,0.2211811581252078
9,1154459,5,Genetic_Algorithms,1.1741520626688575,-0.6625228257657323,3,True,cora_subset_pilot k=3 best,-1.3264206884585215,-0.07356222152503722,1.4327913632675198
10,148170,5,Genetic_Algorithms,-1.2467267256408563,0.4357688754018105,3,True,cora_subset_pilot k=3 best,-0.1429154971624783,1.130886167717892,-0.7034170108361067
11,593813,5,Genetic_Algorithms,1.3443569067688306,0.9987976489344883,3,True,cora_subset_pilot k=3 best,0.30075422616006126,0.391724051137335,1.8072207743290385
12,561238,5,Genetic_Algorithms,-0.10029662017056992,-0.2599324288962804,3,True,cora_subset_pilot k=3 best,-0.9718571668344927,0.6256666547594014,0.34629899266013764
13,1123756,5,Genetic_Algorithms,0.1934564865816456,-0.22428782978455486,3,True,cora_subset_pilot k=3 best,-1.005181508528357,0.6034267775895448,0.6627619093897259
14,486840,5,Genetic_Algorithms,-0.8350730016036316,-1.1288650648896286,3,True,cora_subset_pilot k=3 best,-1.8992382617927863,0.7417663037492935,-0.391295329171397
15,85352,5,Genetic_Algorithms,2.953638915761264,0.5581713343871615,3,True,cora_subset_pilot k=3 best,-0.063106561049801,-0.49149389446592734,3.1769768618537477
16,1103960,5,Genetic_Algorithms,-0.16984323918333522,-0.422604398306834,3,True,cora_subset_pilot k=3 best,-1.3038480832718535,0.8193734334847165,0.37086429190583126
17,190697,5,Genetic_Algorithms,-0.033318431590771774,-0.997080059469543,3,True,cora_subset_pilot k=3 best,-1.1222387588178142,-0.35962451707974014,-0.05230548442563464
18,575331,5,Genetic_Algorithms,0.2974084652081919,0.20949900906192093,3,True,cora_subset_pilot k=3 best,-0.7101645779854839,0.864390452187563,0.8973117861179072
19,579008,5,Genetic_Algorithms,1.392107544649136,1.1665543192524428,3,True,cora_subset_pilot k=3 best,0.3871384531336597,0.5245028188675027,1.922407517570797
20,56119,5,Genetic_Algorithms,-1.4571266308765691,-1.6521990594863947,3,True,cora_subset_pilot k=3 best,-2.3338089553128856,0.7285645863223964,-1.0782531462645961
