family,n,trial,rmse_Z,rmse_F,rmse_sigma,rmse_Y,rmse_X,w0_err,w_err,nan_occurred,elapsed_s
bernoulli,50,0,0.24148270083301285,0.08009430623684169,0.046704388038488386,0.12524296275706545,0.3360451959985429,0.03574046642155637,0.1572878493636487,False,10.172287464141846
bernoulli,50,1,0.2145173895765712,0.05626085723439267,0.024828222252952923,0.10517714093120005,0.3107882576298801,0.002531872572184679,0.023706460777439098,False,9.187859535217285
bernoulli,50,2,0.1799926502261163,0.06595378565590558,0.03224861063850936,0.09376220676688309,0.3178952436722796,0.193188217561862,0.06947255433725852,False,8.96619701385498
bernoulli,50,3,0.20144149959089372,0.049098501880462636,0.02397409257231465,0.09914593567133491,0.3029183709358407,0.007229878425524916,0.030298880211995893,False,9.00115704536438
bernoulli,50,4,0.19732065756701087,0.07153413298345716,0.026338935113784056,0.0987209894566069,0.3069615281469531,0.05382391254343488,0.02063111144552776,False,9.22211241722107
bernoulli,100,0,0.17074239219797022,0.02919023098424506,0.0186909365296436,0.07919885516776431,0.31636775268318607,0.03186676655700316,0.08684898584111944,False,19.937780380249023
bernoulli,100,1,0.18555973584152402,0.03382299385313005,0.018667482945528377,0.09229142450455687,0.31465054602254533,0.009455657441511778,0.05013511526022896,False,20.051697492599487
bernoulli,100,2,0.19861342958867237,0.036680512507299146,0.018095978900142053,0.09665979626212647,0.3073268292071212,0.01434008411439891,0.15495749557499194,False,20.01208257675171
bernoulli,100,3,0.17823838633559222,0.03935318336742899,0.017821722601014018,0.09157359529770161,0.3109926742465137,0.005198542852516752,0.006574611983786616,False,20.039902687072754
bernoulli,100,4,0.19316463120881944,0.040220341350355036,0.022462005652841576,0.0973681607503519,0.3063684295913512,0.04233655331030506,0.010750675153396116,False,20.15301275253296
bernoulli,150,0,0.173443760553261,0.025649211719588137,0.012999476201803887,0.08726278652344972,0.3049686995450538,0.011182304062258508,0.026187061305729786,False,35.54475951194763
bernoulli,150,1,0.16889906910135444,0.02637565604697708,0.011368177211296387,0.0822034327015296,0.3247467919376461,0.004927115806928173,0.03588748700500477,False,35.36775088310242
bernoulli,150,2,0.16840213780868432,0.023519491256400845,0.014780790953331483,0.08358464094967599,0.311169151746222,0.05508133467626464,0.06016142085551657,False,35.038562536239624
