family,k_est,k_true,trial,data_seed,rmse_Z,rmse_X,Q_final,Q_strict,BIC,num_params,w0_est,w_est,nan_occurred,elapsed_s
bernoulli,1,3,0,7000,0.8387703532476449,0.7832646019160038,-8949.983707024387,-8949.983707024387,18050.28647287166,30,-0.6860953621271886,1.1739253286285205,False,29.684767961502075
bernoulli,1,3,1,7019,1.3786069529852425,0.7986926967302397,-9339.158535093822,-9339.158535093822,18828.63612901053,30,-0.6589619356092117,0.9354550058906974,False,29.8109929561615
bernoulli,1,3,2,7038,0.37102916730892865,0.6364814738377224,-8579.766066803004,-8579.766066803004,17309.851192428894,30,-0.6794421630602733,1.0664421478061465,False,29.37698221206665
bernoulli,1,3,3,7057,1.2279601485545304,0.8223649945630743,-9388.136657018473,-9388.136657018473,18926.59237285983,30,-0.648529783979054,0.892849212710417,False,29.66846776008606
bernoulli,1,3,4,7076,1.2798743693398567,0.7583770882055553,-8775.004367123993,-8775.004367123993,17700.327793070872,30,-0.6865822651162188,1.1636901732276637,False,29.49769902229309
bernoulli,2,3,0,7000,0.6541037458379901,0.564595819677705,-7426.0050162514135,-7426.0050162514135,15072.477985443062,44,-0.8191510150745901,1.336276509053318,False,32.77457094192505
bernoulli,2,3,1,7019,0.7003634008613948,0.5743663871946464,-7581.507140524113,-7581.507140524113,15383.482233988461,44,-0.7997582264457382,1.236133375117534,False,32.717551708221436
bernoulli,2,3,2,7038,0.8571504574544879,0.4237717624850738,-6922.519652254923,-6922.519652254923,14065.507257450081,44,-0.8204552366308088,1.255494443925868,False,32.6890914440155
bernoulli,2,3,3,7057,1.0037544009149093,0.6507202399959628,-7999.688698468296,-7999.688698468296,16219.845349876827,44,-0.7505631414333412,1.0420732814277776,False,32.83256959915161
bernoulli,2,3,4,7076,0.7973419938383416,0.4716638034007719,-7327.255020158819,-7327.255020158819,14874.977993257873,44,-0.7816052758170982,1.1251394199583316,False,32.641719579696655
bernoulli,3,3,0,7000,0.1706721425879869,0.3054343518464319,-5824.885500376869,-5824.885500376869,11935.377212517224,57,-0.9499397455778379,1.409756627781813,False,34.26458525657654
bernoulli,3,3,1,7019,0.17737800339805412,0.3095306382288499,-5925.612677875287,-5925.612677875287,12136.83156751406,57,-0.9496770952398995,1.39866579895611,False,33.72164177894592
bernoulli,3,3,2,7038,0.19052859581880588,0.30753821712126594,-5852.565860546166,-5852.565860546166,11990.737932855818,57,-0.9754202929581912,1.4107958872474529,False,34.20087146759033
bernoulli,3,3,3,7057,0.17915822542643292,0.3095132654264386,-5757.4889004738125,-5757.4889004738125,11800.584012711111,57,-0.9829209396259375,1.4115911910009131,False,33.982202768325806
bernoulli,3,3,4,7076,0.18050948614590503,0.30985395157828727,-5764.992822407268,-5764.992822407268,11815.591856578023,57,-0.9898943081592496,1.4330673527956141,False,33.85569930076599
bernoulli,4,3,0,7000,0.46808775901653593,0.30614176186776726,-5997.052233531805,-5997.052233531805,12339.838302356251,69,-0.9483856919885043,1.1376389333150954,False,33.953715562820435
bernoulli,4,3,1,7019,0.6670065721954349,0.3071722388817542,-6086.961547112698,-6086.961547112698,12519.656929518038,69,-0.9562896962444185,1.137129881853384,False,33.87794804573059
bernoulli,4,3,2,7038,0.5887932820258286,0.3069661946541101,-6050.906682904484,-6050.906682904484,12447.54720110161,69,-0.975248799391829,1.125412002260276,False,34.05933332443237
bernoulli,4,3,3,7057,0.4393584896463967,0.3009141563669991,-5937.650021752861,-5937.650021752861,12221.033878798364,69,-0.9743270798351241,1.1371890007514458,False,33.94720649719238
bernoulli,4,3,4,7076,0.4823813573845289,0.31004097201795977,-5973.827396996254,-5973.827396996254,12293.38862928515,69,-0.9878431980614041,1.141042464089469,False,33.79042911529541
bernoulli,5,3,0,7000,0.6619536505021348,0.2983949904508599,-6210.31656115845,-6210.31656115845,12821.4839458446,80,-0.9488720090144755,0.9568741260112349,False,34.92263221740723
bernoulli,5,3,1,7019,0.5915931603066169,0.3029821963011474,-6264.236188542287,-6264.236188542287,12929.323200612274,80,-0.9521335483145124,0.9597860065812015,False,35.31916046142578
bernoulli,5,3,2,7038,0.4317627167594489,0.3056350138377278,-6264.8245035942455,-6264.8245035942455,12930.499830716191,80,-0.9710390262886728,0.9339729738317509,False,35.01903581619263
bernoulli,5,3,3,7057,0.4783207337120395,0.30365975084161123,-6168.825844123892,-6168.825844123892,12738.502511775485,80,-0.9734404021112462,0.9585401507070276,False,34.74150633811951
bernoulli,5,3,4,7076,0.5760137531256546,0.3036776232022824,-6157.041367396363,-6157.041367396363,12714.933558320427,80,-0.9805223476456204,0.9616521745681992,False,34.91955304145813
bernoulli,6,3,0,7000,0.8021583497073592,0.2944603072001297,-6399.837428343195,-6399.837428343195,13250.632033155052,90,-0.9427291811323878,0.8390677312451417,False,35.63567757606506
bernoulli,6,3,1,7019,0.707982850339103,0.29655748434048096,-6463.6792775754675,-6463.6792775754675,13378.315731619597,90,-0.9534201072486393,0.8275953945090806,False,35.73125147819519
bernoulli,6,3,2,7038,0.6346474664658492,0.296412232433528,-6462.760572294341,-6462.760572294341,13376.478321057344,90,-0.9708257538760526,0.8246816694662796,False,35.770358085632324
bernoulli,6,3,3,7057,0.6372956480364815,0.29340452231789327,-6356.973379037116,-6356.973379037116,13164.903934542894,90,-0.9725837400190055,0.8400241252327939,False,35.6892454624176
bernoulli,6,3,4,7076,0.6012116260499568,0.29989842147380213,-6356.750946360009,-6356.750946360009,13164.45906918868,90,-0.984223130378905,0.8420769551028949,False,35.64685297012329
