family,trial,data_seed,rmse_Z,rmse_X,Q_final,w0_true,w_true,w0_est,w_est,sigma_y_true,sigma_y_est,nan_occurred,elapsed_s
bernoulli,0,4000,0.19865192961826864,0.3002970560370778,-5871.65905207665,-1.0,1.5,-0.9494432429969079,1.429639023849037,,1.0,False,33.58698892593384
bernoulli,1,4013,0.17307159205884332,0.3127299501116167,-5618.762155674824,-1.0,1.5,-1.0261229636796274,1.4939575805724163,,1.0,False,33.206310749053955
bernoulli,2,4026,0.1944770368513156,0.3122471211328895,-5862.635053238791,-1.0,1.5,-1.013086938237698,1.3979113886572014,,1.0,False,32.98573112487793
bernoulli,3,4039,0.17105224010632944,0.3105397146207104,-5707.5059047649065,-1.0,1.5,-1.0303868671543506,1.484135469457846,,1.0,False,33.00821018218994
bernoulli,4,4052,0.1748491543721019,0.29973007612776414,-5646.551890253357,-1.0,1.5,-0.9530159174050087,1.52147558075868,,1.0,False,34.06837034225464
poisson,0,4000,0.2408952958404998,0.3026239371295809,-1894.6748730579657,0.0,0.5,0.09904919236856313,0.4238669780418141,,1.0,False,27.34266710281372
poisson,1,4013,0.15954553265586235,0.3126155582617424,-3235.394184397289,0.0,0.5,0.0029648115952155773,0.49832361412455145,,1.0,False,27.142869234085083
poisson,2,4026,0.18009594015478209,0.31235603638561327,-2521.1946046930743,0.0,0.5,0.03393567627176299,0.48211156703030156,,1.0,False,27.343536376953125
poisson,3,4039,0.15446493317038645,0.3095008890692048,-3027.777655865766,0.0,0.5,0.006145159902416462,0.49630650994732073,,1.0,False,27.045910596847534
poisson,4,4052,0.15510162830005794,0.30036614219271346,-3486.064489034631,0.0,0.5,0.005190320703452797,0.49477102100180226,,1.0,False,27.0499587059021
gaussian,0,4000,0.02754524533968837,0.3081483129327128,18752.13542634829,0.0,0.5,7.481476795589883e-05,0.4997139681844748,0.1,0.10201658120791374,False,20.344346046447754
gaussian,1,4013,0.029968332155540546,0.31297492051051023,18764.063246878093,0.0,0.5,3.094487821053387e-05,0.499017303766503,0.1,0.10157886804921323,False,20.617695808410645
gaussian,2,4026,0.030056839239572888,0.31452731528934874,18743.966779354472,0.0,0.5,-0.00030013520440100316,0.49998343103610077,0.1,0.10164536883292283,False,20.40473985671997
gaussian,3,4039,0.028798129657715603,0.3146500084716463,18632.312329621673,0.0,0.5,0.002962355686287818,0.5011798549806021,0.1,0.102620139408227,False,20.454821348190308
gaussian,4,4052,0.027280422369448987,0.30682581653728197,18888.30188600796,0.0,0.5,-0.0018188632280922176,0.5000441655067153,0.1,0.10078651974957448,False,24.38662552833557
