family,n,rmse_Z_mean,rmse_Z_std,rmse_Z_min,rmse_F_mean,rmse_F_std,rmse_F_min,rmse_sigma_mean,rmse_sigma_std,rmse_sigma_min,rmse_Y_mean,rmse_Y_std,rmse_Y_min,rmse_X_mean,rmse_X_std,rmse_X_min,w0_err_mean,w0_err_std,w0_err_min,w_err_mean,w_err_std,w_err_min,nan_count
bernoulli,50,0.206950979558721,0.022910365155910797,0.1799926502261163,0.06458831679821195,0.012245667857701936,0.049098501880462636,0.030818849723209873,0.009449900749359422,0.02397409257231465,0.10440984711661808,0.012329350725840193,0.09376220676688309,0.31492171927669926,0.013034316586890816,0.3029183709358407,0.05850286950491257,0.07816942293101017,0.002531872572184679,0.06027937122717399,0.05767051146391638,0.02063111144552776,0
bernoulli,100,0.18526371503451564,0.011190967827226945,0.17074239219797022,0.03585345241249165,0.0044867345006177,0.02919023098424506,0.019147625325833924,0.001889986544551438,0.017821722601014018,0.09141836639650022,0.007296838716704977,0.07919885516776431,0.3111412463501435,0.004387003084795505,0.3063684295913512,0.02063952085514713,0.015811370664756394,0.005198542852516752,0.061853376762704616,0.06143635530552496,0.006574611983786616,0
bernoulli,150,0.17413801027572512,0.009106077906616338,0.16840213780868432,0.028282473066586166,0.005837187143863462,0.023519491256400845,0.014319632610977623,0.002164032983156791,0.011368177211296387,0.08472787924734423,0.002100651205466916,0.0822034327015296,0.3111038277834141,0.009591524724704389,0.29971664016213406,0.01762363898546495,0.021688479119054464,0.0011159035606257417,0.04241708293135264,0.01791431291806894,0.026187061305729786,0
bernoulli,200,0.1706675320085477,0.0060967794142453595,0.16258315525552872,0.025407360667741942,0.003350279622910902,0.021144793761314225,0.013033335355012016,0.002584713383392517,0.010142765886065153,0.08038434275178723,0.002188187670276792,0.07757896790931733,0.30923739609245005,0.005627736965351262,0.30466209470859196,0.03105136890320883,0.02360337429818133,0.004889697668813864,0.07342256735334866,0.017515173030163457,0.052778269774033326,0
bernoulli,250,0.161107528742243,0.004738821818357273,0.15703838908630036,0.020587694521482958,0.0025906350440313493,0.017264013612162888,0.011812818247530008,0.003116477687868336,0.006559377488719743,0.07661538197710303,0.002870254351747664,0.07416921022662006,0.30746977030117134,0.005156940353328422,0.3013564308358672,0.01772347206355891,0.01611786973197176,0.0031520522390501293,0.051000177857633,0.013809462755069352,0.04061376511241388,0
bernoulli,300,0.15462380725300945,0.0045205112794772205,0.14684764311658122,0.020181060066143033,0.0017822394161224164,0.018026526187357655,0.01072327116217212,0.0026414169297245705,0.0073484492220953325,0.07405590163531343,0.00247989359950069,0.06971433159595217,0.31052790499684213,0.004643463883013294,0.3047269445312,0.013527541646140163,0.015057234700727591,0.0019402878010936764,0.045660880695334916,0.025303221684374464,0.016730773159119083,0
gaussian,50,0.050249351825814415,0.003222180870132115,0.04618141447987683,0.06386176181925612,0.016882632227866304,0.043375946671909055,0.025417149403726393,0.007566660567508173,0.017893651494057562,0.05885983024525292,0.004944249885836435,0.05208302010476443,0.3128343885730246,0.010585474167610295,0.3033603520020196,0.001819899108456947,0.0010975323041515508,0.0007311279713088487,0.0007479191005770325,0.0007394059217499113,8.521806181827074e-07,0
gaussian,100,0.034843520831479305,0.0010906359166495063,0.033807651308224655,0.03479719431739416,0.003775103012411243,0.031539119875510085,0.016062487273587035,0.0008515941839038888,0.015319546014825722,0.04206350287882562,0.001547041706416394,0.04020946686322297,0.3119919242175658,0.0057281074371991255,0.3040173394290945,0.0009682075036408505,0.0005165972214998054,0.00015675001504483093,0.0007430708629359905,0.0003592605641720632,0.0003772432034024331,0
gaussian,150,0.029697666772040852,0.0005059883163535656,0.028918588792888212,0.026780859475841867,0.0029996345696365087,0.023099101626511194,0.013610834969188568,0.0018304877455851418,0.01142230518565409,0.03616007322033882,0.000649565592495207,0.03525537626934539,0.3125527936814266,0.009160880605710823,0.30267972709282037,0.0005214979462364727,0.0002595356364805689,0.00025807636444743695,0.0005188012793815644,0.00042233694032958367,0.00011400332705002736,0
gaussian,200,0.02490612279369266,0.00035563110249652404,0.02429199603672667,0.02393299545803125,0.0011966069723359058,0.022122703104766776,0.011908040895228187,0.0021908722349318105,0.009161860609415715,0.030390500798911212,0.0004295124487137176,0.02962942710888696,0.31431713190884164,0.0055258999650712876,0.30802108200379225,0.00028244776062052074,0.00035280514442189863,2.7608876299545497e-05,0.00012865284387394426,6.883921268391811e-05,7.34942472478406e-05,0
