replicate,data_seed,column,family_x_true,generator_version,f_row_norm_sq,sigma_x_var,column_mean,column_min,column_max,binary_valued,ambiguous_true_poisson
rep1,951001,0,gaussian,canonical-clean-mixed-v1,0.5347384558748582,1.0,0.047693061217602827,-2.281092710165215,2.5946466228036886,False,False
rep1,951001,1,gaussian,canonical-clean-mixed-v1,0.38748469757840537,1.0,-0.07166595612957917,-3.2161168761798336,2.7967024430532392,False,False
rep1,951001,2,gaussian,canonical-clean-mixed-v1,0.9815756706364399,1.0,0.19623988264569428,-3.0010013938713205,3.845881295754511,False,False
rep1,951001,3,bernoulli,canonical-clean-mixed-v1,0.761470949579032,,0.5333333333333333,0.0,1.0,True,False
rep1,951001,4,bernoulli,canonical-clean-mixed-v1,0.14294253307875093,,0.48,0.0,1.0,True,False
rep1,951001,5,bernoulli,canonical-clean-mixed-v1,0.7318579986950627,,0.5866666666666667,0.0,1.0,True,False
rep1,951001,6,bernoulli,canonical-clean-mixed-v1,0.33630238441745686,,0.52,0.0,1.0,True,False
rep1,951001,7,bernoulli,canonical-clean-mixed-v1,0.3542541788722636,,0.5733333333333334,0.0,1.0,True,False
rep1,951001,8,bernoulli,canonical-clean-mixed-v1,0.6148831745992923,,0.4666666666666667,0.0,1.0,True,False
rep1,951001,9,poisson,canonical-clean-mixed-v1,0.817447884215142,,1.5733333333333333,0.0,7.0,False,False
rep1,951001,10,poisson,canonical-clean-mixed-v1,0.17898857625571335,,1.04,0.0,5.0,False,False
rep1,951001,11,poisson,canonical-clean-mixed-v1,0.15805349619758274,,1.04,0.0,5.0,False,False
rep2,951002,0,gaussian,canonical-clean-mixed-v1,0.22422887297326624,1.0,-0.0437018072318267,-2.3312972527712086,2.4545327648546422,False,False
rep2,951002,1,gaussian,canonical-clean-mixed-v1,0.6329113727672468,1.0,-0.11809485911557036,-3.753843487466933,3.5615179547940894,False,False
rep2,951002,2,gaussian,canonical-clean-mixed-v1,0.5481716982608812,1.0,0.2672774308730686,-2.8766149292943126,3.537908541401454,False,False
rep2,951002,3,bernoulli,canonical-clean-mixed-v1,1.1458886285822263,,0.3333333333333333,0.0,1.0,True,False
rep2,951002,4,bernoulli,canonical-clean-mixed-v1,0.07376432824439245,,0.5733333333333334,0.0,1.0,True,False
rep2,951002,5,bernoulli,canonical-clean-mixed-v1,0.7157052274326674,,0.4533333333333333,0.0,1.0,True,False
rep2,951002,6,bernoulli,canonical-clean-mixed-v1,0.10821802686435396,,0.44,0.0,1.0,True,False
rep2,951002,7,bernoulli,canonical-clean-mixed-v1,0.5766872203872049,,0.5333333333333333,0.0,1.0,True,False
rep2,951002,8,bernoulli,canonical-clean-mixed-v1,0.22115139503615594,,0.4666666666666667,0.0,1.0,True,False
rep2,951002,9,poisson,canonical-clean-mixed-v1,0.19678703350523624,,1.0133333333333334,0.0,4.0,False,False
rep2,951002,10,poisson,canonical-clean-mixed-v1,0.8136226347714448,,1.52,0.0,9.0,False,False
rep2,951002,11,poisson,canonical-clean-mixed-v1,0.7428635611749238,,1.48,0.0,7.0,False,False
rep3,951003,0,gaussian,canonical-clean-mixed-v1,0.037109314723340725,1.0,-0.19339129513739828,-1.8122121308039167,2.603352986726775,False,False
rep3,951003,1,gaussian,canonical-clean-mixed-v1,0.20758207169125392,1.0,-0.0672913651534277,-2.3353935043824556,2.5371907271185847,False,False
rep3,951003,2,gaussian,canonical-clean-mixed-v1,0.314757150970214,1.0,0.02586467165906773,-2.142949999590725,2.3683798516100514,False,False
rep3,951003,3,bernoulli,canonical-clean-mixed-v1,0.36177238043042126,,0.49333333333333335,0.0,1.0,True,False
rep3,951003,4,bernoulli,canonical-clean-mixed-v1,0.13158808647495637,,0.4666666666666667,0.0,1.0,True,False
rep3,951003,5,bernoulli,canonical-clean-mixed-v1,0.7924986313451403,,0.49333333333333335,0.0,1.0,True,False
rep3,951003,6,bernoulli,canonical-clean-mixed-v1,0.5973794039456148,,0.4666666666666667,0.0,1.0,True,False
rep3,951003,7,bernoulli,canonical-clean-mixed-v1,0.91243599118329,,0.4533333333333333,0.0,1.0,True,False
rep3,951003,8,bernoulli,canonical-clean-mixed-v1,0.7101868689052699,,0.4666666666666667,0.0,1.0,True,False
rep3,951003,9,poisson,canonical-clean-mixed-v1,0.3894851016217202,,0.9466666666666667,0.0,5.0,False,False
rep3,951003,10,poisson,canonical-clean-mixed-v1,0.797580834041018,,1.2533333333333334,0.0,8.0,False,False
rep3,951003,11,poisson,canonical-clean-mixed-v1,0.7476241646677627,,1.5866666666666667,0.0,9.0,False,False
