query_movie_id,query_title,query_genres,method,rank,recommended_movie_id,recommended_title,recommended_genres,observed_colike_count,lift,score,hit_in_test_if_applicable,top_contributing_factor,contribution_explanation
895,Scream 2 (1997),Horror|Thriller,proposed_poisson_colike,1,682,I Know What You Did Last Summer (1997),Horror|Mystery|Thriller,14.0,7.175,17.558852445083637,,2,factor 2 contributes 0.629 to w*z_i.z_j
895,Scream 2 (1997),Horror|Thriller,proposed_poisson_colike,2,358,Spawn (1997),Action|Adventure|Sci-Fi|Thriller,8.0,5.125,14.729652082960794,,2,factor 2 contributes 0.559 to w*z_i.z_j
895,Scream 2 (1997),Horror|Thriller,proposed_poisson_colike,3,332,Kiss the Girls (1997),Crime|Drama|Thriller,15.0,4.212328767123288,14.689506072637446,,2,factor 2 contributes 0.489 to w*z_i.z_j
895,Scream 2 (1997),Horror|Thriller,proposed_poisson_colike,4,312,Midnight in the Garden of Good and Evil (1997),Comedy|Crime|Drama|Mystery,1.0,0.6612903225806451,14.609008790256834,,2,factor 2 contributes 0.767 to w*z_i.z_j
895,Scream 2 (1997),Horror|Thriller,proposed_poisson_colike,5,307,"Devil's Advocate, The (1997)",Crime|Horror|Mystery|Thriller,17.0,3.2268518518518516,13.77257714158378,,2,factor 2 contributes 0.302 to w*z_i.z_j
895,Scream 2 (1997),Horror|Thriller,proposed_poisson_colike,6,326,G.I. Jane (1997),Action|Drama|War,12.0,2.8275862068965516,13.599501400014468,,2,factor 2 contributes 0.410 to w*z_i.z_j
895,Scream 2 (1997),Horror|Thriller,proposed_poisson_colike,7,260,Event Horizon (1997),Action|Mystery|Sci-Fi|Thriller,7.0,4.220588235294118,13.252360536463266,,2,factor 2 contributes 0.299 to w*z_i.z_j
895,Scream 2 (1997),Horror|Thriller,proposed_poisson_colike,8,343,Alien: Resurrection (1997),Action|Horror|Sci-Fi,13.0,5.670212765957447,13.076439378927084,,2,factor 2 contributes 0.390 to w*z_i.z_j
895,Scream 2 (1997),Horror|Thriller,proposed_poisson_colike,9,315,Apt Pupil (1998),Drama|Thriller,14.0,2.296,13.030337031747509,,2,factor 2 contributes 0.465 to w*z_i.z_j
895,Scream 2 (1997),Horror|Thriller,proposed_poisson_colike,10,327,Cop Land (1997),Crime|Drama|Mystery,9.0,2.2228915662650603,13.023670253530565,,2,factor 2 contributes 0.322 to w*z_i.z_j
895,Scream 2 (1997),Horror|Thriller,popularity,1,272,Good Will Hunting (1997),Drama,21.0,2.625,7544.0,,,
895,Scream 2 (1997),Horror|Thriller,popularity,2,134,Citizen Kane (1941),Drama,6.0,0.7592592592592593,7452.0,,,
895,Scream 2 (1997),Horror|Thriller,popularity,3,479,Vertigo (1958),Mystery|Thriller,4.0,0.5061728395061729,7452.0,,,
